x,y,z,magnitude,time
-0.572,-0.264,-0.135,0.644,28.84
-0.066,-0.055,-0.221,0.237,28.91
-1.596,0.465,-0.168,1.67,28.98
-1.486,-0.178,-0.154,1.505,29.06
-0.631,0.023,0.029,0.632,29.13
-0.467,0.187,-0.254,0.563,29.2
-0.908,-0.066,-0.197,0.932,29.27
-0.93,0.082,-0.037,0.934,29.34
-2.504,-0.187,-0.074,2.512,29.42
-2.469,0.234,0.33,2.502,29.49
-1.463,0.09,-0.064,1.467,29.56
-0.119,0.137,0.113,0.214,29.63
1.189,0.014,-0.711,1.386,29.7
-0.205,0.029,-0.24,0.317,29.77
-0.836,-0.021,0.383,0.92,29.84
-2.16,-0.393,0.125,2.199,29.92
-1.965,0.465,-0.027,2.019,29.99
-1.102,-0.02,0.025,1.102,30.06
-0.359,-0.328,-0.287,0.565,30.13
-0.232,0.098,-0.105,0.273,30.2
-1.729,0.311,0.043,1.757,30.27
-1.488,-0.078,-0.221,1.507,30.35
-0.922,0.068,-0.133,0.934,30.42
-0.578,-0.012,-0.098,0.586,30.49
-0.611,-0.111,-0.15,0.639,30.56
-0.846,0.078,-0.4,0.939,30.64
-2.416,0.301,0.037,2.435,30.71
-2.256,-0.123,-0.389,2.292,30.78
-1.52,0.352,0.139,1.566,30.85
0.311,-0.082,-0.111,0.34,30.92
1.32,-0.307,-0.986,1.676,30.99
-0.477,0.135,0.334,0.597,31.06
-0.676,0.072,-0.043,0.681,31.14
-2.68,0.117,0.283,2.697,31.21
-1.771,0.258,-0.25,1.808,31.28
-0.977,-0.221,0.131,1.01,31.35
-0.104,-0.07,-0.137,0.185,31.42
-0.713,0.197,-0.076,0.744,31.5
-1.502,0.08,0.125,1.509,31.56
-1.068,-0.143,0.193,1.095,31.64
-0.705,0.037,-0.004,0.706,31.71
-1.256,-0.02,-0.066,1.258,31.78
-0.85,0.018,-0.094,0.855,31.85
-0.187,-0.033,0.012,0.191,31.93
-4,-0.209,0.043,4.006,32
-2.437,0.219,0.449,2.488,32.07
-1.518,-0.043,0.191,1.53,32.14
0.316,0.027,-0.332,0.459,32.21
1.002,0.189,-0.744,1.262,32.28
-0.645,-0.063,0.053,0.65,32.35
-0.393,-0.141,0.004,0.417,32.42
-2.936,-0.016,0.281,2.949,32.5
-2.549,0.256,-0.098,2.563,32.57
-1.27,-0.248,0.072,1.296,32.64
-0.322,0.063,-0.076,0.337,32.71
-0.037,0.07,-0.121,0.145,32.78
-0.865,0.074,-0.018,0.869,32.86
-1.76,-0.072,0.027,1.761,32.93
-1.176,0.201,0.141,1.201,33
-0.33,-0.039,-0.137,0.359,33.07
-0.121,-0.068,-0.219,0.259,33.14
-0.834,-0.176,-0.168,0.869,33.22
-2.436,0.361,0.156,2.467,33.29
-2.598,-0.25,-0.262,2.623,33.36
-1.289,0.055,-0.293,1.323,33.43
0.238,0.496,-0.094,0.558,33.5
1.342,-0.58,-0.447,1.529,33.57
-0.59,-0.105,0.201,0.632,33.65
-0.682,0.395,0.135,0.799,33.72
-1.822,0.086,-0.621,1.927,33.79
-2.352,-0.432,-0.732,2.501,33.86
-1.131,0.043,0.033,1.132,33.93
-0.078,0.129,-0.311,0.345,34
-0.109,-0.074,-0.045,0.14,34.08
-1.072,0.084,-0.014,1.076,34.15
-1.525,0.223,-0.1,1.545,34.22
-1.107,-0.227,0.32,1.175,34.29
-0.115,0.08,-0.5,0.519,34.36
-0.711,0.016,-0.049,0.713,34.44
-1.492,-0.117,0.26,1.519,34.51
-2.467,-0.258,-0.441,2.519,34.58
-1.967,0.537,0.07,2.04,34.65
-0.783,-0.029,0.059,0.786,34.72
0.795,-0.324,-0.09,0.863,34.79
0.277,-0.043,0.348,0.447,34.87
-0.744,0.346,0.424,0.924,34.94
-0.73,0.061,-0.609,0.953,35.01
-3.924,-0.244,0.559,3.971,35.08
-1.512,0.453,0.285,1.604,35.15
-0.771,0.055,-0.119,0.783,35.22
-0.191,-0.172,-0.219,0.338,35.29
-0.379,-0.057,-0.068,0.389,35.37
-1.797,0.115,-0.006,1.801,35.44
-1.316,0.051,-0.225,1.336,35.51
-0.631,-0.107,-0.057,0.642,35.58
-0.414,-0.027,-0.096,0.426,35.66
-0.459,0.016,-0.205,0.503,35.73
-1.619,0.111,0.172,1.632,35.8
